company_name,platform,board_url,country_focus,notes
Anthropic,greenhouse,https://boards.greenhouse.io/anthropic,,Promoted from DB frequent-run shortlist
Databricks,greenhouse,https://boards.greenhouse.io/databricks,,Promoted from DB frequent-run shortlist
Instacart,greenhouse,https://boards.greenhouse.io/instacart,,Promoted from DB frequent-run shortlist
Lyft,greenhouse,https://boards.greenhouse.io/lyft,,Promoted from DB frequent-run shortlist
Pinterest,greenhouse,https://boards.greenhouse.io/pinterest,US,Promoted from DB frequent-run shortlist
Applied Intuition,greenhouse,https://boards.greenhouse.io/appliedintuition,US,Promoted from DB frequent-run shortlist
Airtable,greenhouse,https://boards.greenhouse.io/airtable,,Promoted from DB frequent-run shortlist
MongoDB,greenhouse,https://boards.greenhouse.io/mongodb,,Promoted from DB frequent-run shortlist
Deepgram,ashby,https://jobs.ashbyhq.com/deepgram,,Promoted from DB frequent-run shortlist
Hightouch,greenhouse,https://job-boards.greenhouse.io/hightouch,,Promoted from DB frequent-run shortlist
WorkOS,ashby,https://jobs.ashbyhq.com/workos,,Promoted from DB frequent-run shortlist
Intercom,greenhouse,https://job-boards.greenhouse.io/intercom,,Promoted from DB frequent-run shortlist
